location,industry,fuels_consumed,date,value
aus,Mining,Diesel,2006-07,101.3
aus,Agriculture,Electricity,2006-07,9.3
aus,Agriculture,Naturalgas,2006-07,0.1
aus,Agriculture,Diesel,2006-07,78.5
aus,Agriculture,LPG,2006-07,1.6
aus,Mining,LPG,2006-07,1.8
aus,Manufacturing,Browncoal,2006-07,7.5
aus,Manufacturing,Blackcoal,2006-07,268.1
aus,Construction,Electricity,2007-08,0.3
aus,Construction,Naturalgas,2007-08,3.1
aus,Construction,Fueloil,2007-08,0.5
aus,Construction,Diesel,2007-08,22
aus,Construction,LPG,2007-08,0.3
aus,Transport_postal,Liquid/gasBiofuels,2007-08,2.8
aus,Transport_postal,Electricity,2007-08,14.6
aus,Transport_postal,Naturalgas,2007-08,19
aus,Transport_postal,Fueloil,2007-08,42.7
aus,Transport_postal,Diesel,2007-08,426.6
aus,Transport_postal,LPG,2007-08,59.8
aus,Commercial_services,Fueloil,2007-08,0.1
aus,Commercial_services,Diesel,2007-08,22.4
aus,Commercial_services,LPG,2007-08,3.1
aus,Commercial_services,Blackcoal,2007-08,0.7
aus,Commercial_services,Naturalgas,2007-08,43.2
aus,Commercial_services,Solarenergy,2007-08,0.2
aus,Commercial_services,Electricity,2007-08,202.9
aus,Transport_postal,Blackcoal,2007-08,8
aus,Electricity_gas_water_serv,LPG,2007-08,0.8
aus,Electricity_gas_water_serv,Browncoal,2007-08,718
aus,Electricity_gas_water_serv,Blackcoal,2007-08,1297.4
aus,Electricity_gas_water_serv,Liquid/gasBiofuels,2007-08,10.6
aus,Electricity_gas_water_serv,Electricity,2007-08,120.8
aus,Electricity_gas_water_serv,Naturalgas,2007-08,378.6
aus,Electricity_gas_water_serv,Fueloil,2007-08,6.9
aus,Electricity_gas_water_serv,Diesel,2007-08,42.5
aus,Residential,Blackcoal,2007-08,0.1
aus,Residential,Electricity,2007-08,210.2
aus,Residential,Solarenergy,2007-08,6.5
aus,Residential,Naturalgas,2007-08,136.9
aus,Residential,Diesel,2007-08,1.3
aus,Residential,LPG,2007-08,15
aus,Manufacturing,Liquid/gasBiofuels,2007-08,1.7
aus,Manufacturing,Electricity,2007-08,249.1
aus,Manufacturing,Naturalgas,2007-08,435.1
aus,Manufacturing,Fueloil,2007-08,36.1
aus,Manufacturing,Diesel,2007-08,15.7
aus,Manufacturing,LPG,2007-08,19.4
aus,Mining,Liquid/gasBiofuels,2007-08,0.1
aus,Mining,Electricity,2007-08,67.6
aus,Mining,Naturalgas,2007-08,152.7
aus,Mining,Fueloil,2007-08,0.6
aus,Mining,Diesel,2007-08,108
aus,Agriculture,Electricity,2007-08,9.1
aus,Agriculture,Naturalgas,2007-08,0.1
aus,Agriculture,Diesel,2007-08,79.3
aus,Agriculture,LPG,2007-08,1.6
aus,Mining,LPG,2007-08,1.5
aus,Manufacturing,Browncoal,2007-08,7
aus,Manufacturing,Blackcoal,2007-08,275
aus,Construction,Naturalgas,2008-09,3.1
aus,Construction,LPG,2008-09,0.2
aus,Construction,Electricity,2008-09,0.3
aus,Construction,Fueloil,2008-09,0.5
aus,Construction,Diesel,2008-09,21.5
aus,Transport_postal,Liquid/gasBiofuels,2008-09,5.7
aus,Transport_postal,Electricity,2008-09,12.3
aus,Transport_postal,Naturalgas,2008-09,14
aus,Transport_postal,Fueloil,2008-09,40.5
aus,Transport_postal,Diesel,2008-09,440.9
aus,Transport_postal,LPG,2008-09,58.5
aus,Commercial_services,Naturalgas,2008-09,45.5
aus,Commercial_services,Fueloil,2008-09,0.1
aus,Commercial_services,Diesel,2008-09,22.7
aus,Commercial_services,LPG,2008-09,3.2
aus,Commercial_services,Blackcoal,2008-09,0.7
aus,Commercial_services,Solarenergy,2008-09,0.3
aus,Transport_postal,Blackcoal,2008-09,4.9
aus,Commercial_services,Electricity,2008-09,204.6
aus,Electricity_gas_water_serv,LPG,2008-09,0.6
aus,Electricity_gas_water_serv,Browncoal,2008-09,743.5
aus,Electricity_gas_water_serv,Blackcoal,2008-09,1361.2
aus,Electricity_gas_water_serv,Liquid/gasBiofuels,2008-09,12.3
aus,Electricity_gas_water_serv,Electricity,2008-09,125.7
aus,Electricity_gas_water_serv,Naturalgas,2008-09,464.8
aus,Electricity_gas_water_serv,Fueloil,2008-09,6.4
aus,Electricity_gas_water_serv,Diesel,2008-09,31.2
aus,Residential,Electricity,2008-09,213.5
aus,Residential,Solarenergy,2008-09,8
aus,Residential,Naturalgas,2008-09,141.1
aus,Residential,Diesel,2008-09,1.2
aus,Residential,LPG,2008-09,15.1
aus,Manufacturing,Liquid/gasBiofuels,2008-09,1.6
aus,Manufacturing,Electricity,2008-09,253.2
aus,Manufacturing,Naturalgas,2008-09,420.4
aus,Manufacturing,Fueloil,2008-09,29
aus,Manufacturing,Diesel,2008-09,14.9
aus,Manufacturing,LPG,2008-09,20.7
aus,Mining,Liquid/gasBiofuels,2008-09,0.2
aus,Mining,Electricity,2008-09,73
aus,Mining,Naturalgas,2008-09,163.9
aus,Mining,Fueloil,2008-09,1
aus,Mining,Diesel,2008-09,116.9
aus,Mining,LPG,2008-09,1.7
aus,Agriculture,Electricity,2008-09,8.3
aus,Agriculture,Naturalgas,2008-09,0.1
aus,Agriculture,Diesel,2008-09,78.9
aus,Agriculture,LPG,2008-09,1.8
aus,Mining,Blackcoal,2008-09,8.3
aus,Manufacturing,Browncoal,2008-09,6.2
aus,Manufacturing,Blackcoal,2008-09,225.7
aus,Construction,LPG,2009-10,0.2
aus,Construction,Electricity,2009-10,0.3
aus,Construction,Naturalgas,2009-10,3
aus,Construction,Fueloil,2009-10,0.5
aus,Construction,Diesel,2009-10,21.1
aus,Transport_postal,Liquid/gasBiofuels,2009-10,7.4
aus,Transport_postal,Electricity,2009-10,13.5
aus,Transport_postal,Solarenergy,2009-10,0
aus,Transport_postal,Naturalgas,2009-10,13.9
aus,Transport_postal,Fueloil,2009-10,33.7
aus,Transport_postal,Diesel,2009-10,464.5
aus,Transport_postal,LPG,2009-10,54.4
aus,Commercial_services,Naturalgas,2009-10,47.8
aus,Commercial_services,Fueloil,2009-10,0.1
aus,Commercial_services,Diesel,2009-10,22.8
aus,Commercial_services,LPG,2009-10,3.2
aus,Commercial_services,Blackcoal,2009-10,0.6
aus,Commercial_services,Solarenergy,2009-10,0.4
aus,Commercial_services,Electricity,2009-10,208.1
aus,Transport_postal,Blackcoal,2009-10,4.1
aus,Electricity_gas_water_serv,LPG,2009-10,0.4
aus,Electricity_gas_water_serv,Browncoal,2009-10,737
aus,Electricity_gas_water_serv,Blackcoal,2009-10,1223.2
aus,Electricity_gas_water_serv,Liquid/gasBiofuels,2009-10,12.2
aus,Electricity_gas_water_serv,Electricity,2009-10,123.8
aus,Electricity_gas_water_serv,Naturalgas,2009-10,465.2
aus,Electricity_gas_water_serv,Fueloil,2009-10,5.9
aus,Electricity_gas_water_serv,Diesel,2009-10,28.2
aus,Residential,Electricity,2009-10,218.4
aus,Residential,Solarenergy,2009-10,10.1
aus,Residential,Naturalgas,2009-10,144.1
aus,Residential,Diesel,2009-10,1.2
aus,Residential,LPG,2009-10,14.7
aus,Manufacturing,Liquid/gasBiofuels,2009-10,2.2
aus,Manufacturing,Electricity,2009-10,260.3
aus,Manufacturing,Naturalgas,2009-10,422.9
aus,Manufacturing,Fueloil,2009-10,31.6
aus,Manufacturing,Diesel,2009-10,14.9
aus,Mining,Liquid/gasBiofuels,2009-10,0.8
aus,Mining,Electricity,2009-10,76.1
aus,Mining,Naturalgas,2009-10,160.8
aus,Mining,Fueloil,2009-10,0.4
aus,Mining,Diesel,2009-10,121.4
aus,Agriculture,Electricity,2009-10,8.4
aus,Agriculture,Naturalgas,2009-10,0.1
aus,Agriculture,Diesel,2009-10,80.5
aus,Agriculture,LPG,2009-10,1.8
aus,Mining,LPG,2009-10,1.5
aus,Mining,Blackcoal,2009-10,5.7
aus,Manufacturing,LPG,2009-10,21.4
aus,Manufacturing,Browncoal,2009-10,4.9
aus,Manufacturing,Blackcoal,2009-10,254.7
aus,Construction,LPG,2010-11,0.2
aus,Construction,Electricity,2010-11,0.3
aus,Construction,Naturalgas,2010-11,3
aus,Construction,Fueloil,2010-11,0.5
aus,Construction,Diesel,2010-11,21.1
aus,Transport_postal,Liquid/gasBiofuels,2010-11,8.7
aus,Transport_postal,Electricity,2010-11,14.1
aus,Transport_postal,Solarenergy,2010-11,0
aus,Transport_postal,Naturalgas,2010-11,13.2
aus,Transport_postal,Fueloil,2010-11,29.9
aus,Transport_postal,Diesel,2010-11,488.8
aus,Transport_postal,LPG,2010-11,52.8
aus,Commercial_services,Naturalgas,2010-11,49.7
aus,Commercial_services,Fueloil,2010-11,0.1
aus,Commercial_services,Diesel,2010-11,24.3
aus,Commercial_services,LPG,2010-11,3.3
aus,Commercial_services,Blackcoal,2010-11,0.2
aus,Commercial_services,Solarenergy,2010-11,0.4
aus,Commercial_services,Electricity,2010-11,211.4
aus,Commercial_services,Liquid/gasBiofuels,2010-11,0
aus,Transport_postal,Blackcoal,2010-11,2.9
aus,Electricity_gas_water_serv,LPG,2010-11,0.3
aus,Electricity_gas_water_serv,Browncoal,2010-11,722.6
aus,Electricity_gas_water_serv,Blackcoal,2010-11,1146.2
aus,Electricity_gas_water_serv,Diesel,2010-11,27.5
aus,Electricity_gas_water_serv,Liquid/gasBiofuels,2010-11,13.4
aus,Electricity_gas_water_serv,Electricity,2010-11,118.1
aus,Electricity_gas_water_serv,Naturalgas,2010-11,480.6
aus,Electricity_gas_water_serv,Fueloil,2010-11,5.8
aus,Residential,Electricity,2010-11,225.1
aus,Residential,Solarenergy,2010-11,11.3
aus,Residential,Naturalgas,2010-11,148.1
aus,Residential,Diesel,2010-11,1.1
aus,Residential,LPG,2010-11,15.6
aus,Manufacturing,Liquid/gasBiofuels,2010-11,3.5
aus,Manufacturing,Electricity,2010-11,248.3
aus,Manufacturing,Naturalgas,2010-11,412.6
aus,Manufacturing,Fueloil,2010-11,48
aus,Manufacturing,Diesel,2010-11,17.1
aus,Manufacturing,LPG,2010-11,23.2
aus,Mining,Liquid/gasBiofuels,2010-11,1
aus,Mining,Electricity,2010-11,85.7
aus,Mining,Naturalgas,2010-11,166.8
aus,Mining,Fueloil,2010-11,0.5
aus,Mining,Diesel,2010-11,139.7
aus,Agriculture,Electricity,2010-11,8
aus,Agriculture,Naturalgas,2010-11,0.1
aus,Agriculture,Diesel,2010-11,80
aus,Agriculture,LPG,2010-11,1.8
aus,Mining,LPG,2010-11,1.7
aus,Mining,Blackcoal,2010-11,5.6
aus,Manufacturing,Browncoal,2010-11,5.6
aus,Manufacturing,Blackcoal,2010-11,247.8
aus,Construction,LPG,2011-12,0.2
aus,Construction,Electricity,2011-12,0.3
aus,Construction,Naturalgas,2011-12,2.9
aus,Construction,Fueloil,2011-12,0.5
aus,Construction,Diesel,2011-12,20.9
aus,Transport_postal,Liquid/gasBiofuels,2011-12,8.5
aus,Transport_postal,Electricity,2011-12,15
